DATE,FPT,HSG,VCB,VNM,AUG
01/08/2023,"84,500.00","18,600.00","91,200","76,000.00","1,978.80"
31/07/2023,"85,600.00","19,250.00","91,600","78,000.00","2,009.20"
28/07/2023,"84,400.00","19,300.00","93,000","77,400.00","1,999.90"
27/07/2023,"83,700.00","18,750.00","92,700","75,700.00","1,965.30"
26/07/2023,"82,700.00","18,700.00","93,400","75,000.00","1,989.70"
25/07/2023,"81,300.00","18,300.00","91,700","74,500.00","1,983.10"
24/07/2023,"81,000.00","18,300.00","88,569","73,600.00","1,981.60"
21/07/2023,"81,000.00","18,200.00","105,000","73,500.00","1,966.60"
20/07/2023,"80,300.00","17,550.00","105,000","72,600.00","1,970.90"
19/07/2023,"78,500.00","17,350.00","106,500","72,600.00","1,980.80"
18/07/2023,"78,700.00","17,250.00","104,300","72,400.00","1,980.80"
17/07/2023,"79,000.00","17,650.00","104,800","72,300.00","1,956.40"
14/07/2023,"78,300.00","17,750.00","105,000","73,300.00","1,964.40"
13/07/2023,"75,800.00","17,500.00","104,900","73,100.00","1,963.80"
12/07/2023,"75,300.00","17,450.00","104,000","73,500.00","1,961.70"
11/07/2023,"75,000.00","17,450.00","103,000","72,800.00","1,937.10"
10/07/2023,"75,300.00","17,450.00","102,700","72,100.00","1,931.00"
07/07/2023,"75,300.00","17,200.00","105,000","70,900.00","1,932.50"
06/07/2023,"74,600.00","16,400.00","100,700","70,500.00","1,915.40"
05/07/2023,"74,800.00","16,700.00","102,000","69,800.00","1,927.10"
04/07/2023,"87,000.00","16,600.00","100,000","70,600.00","1,933.95"
03/07/2023,"86,400.00","16,400.00","100,000","70,700.00","1,929.50"
30/06/2023,"86,000.00","16,450.00","100,000","71,000.00","1,929.40"
29/06/2023,"86,500.00","16,400.00","101,900","71,900.00","1,917.90"
28/06/2023,"87,000.00","16,800.00","101,100","70,600.00","1,913.40"
27/06/2023,"87,300.00","16,900.00","100,000","70,500.00","1,915.10"
26/06/2023,"85,800.00","16,950.00","100,000","70,600.00","1,925.10"
23/06/2023,"85,100.00","17,350.00","99,900","69,100.00","1,921.00"
22/06/2023,"85,500.00","17,400.00","100,400","66,900.00","1,915.00"
21/06/2023,"85,800.00","17,150.00","100,000","66,300.00","1,936.10"
20/06/2023,"85,500.00","16,600.00","99,900","65,500.00","1,938.90"
19/06/2023,"84,700.00","16,250.00","101,700","65,800.00","1,964.05"
16/06/2023,"84,500.00","16,500.00","105,000","66,100.00","1,969.45"
15/06/2023,"84,100.00","16,550.00","103,500","66,300.00","1,962.20"
14/06/2023,"84,200.00","16,800.00","102,600","67,100.00","1,961.80"
13/06/2023,"84,400.00","17,200.00","102,500","67,600.00","1,968.90"
12/06/2023,"84,900.00","16,500.00","101,000","67,900.00","1,958.60"
09/06/2023,"84,600.00","16,550.00","100,500","65,800.00","1,969.70"
08/06/2023,"83,600.00","16,350.00","100,000","65,500.00","1,977.20"
07/06/2023,"85,000.00","16,750.00","97,000","66,200.00","1,978.60"
06/06/2023,"85,300.00","16,100.00","99,000","66,400.00","1,958.40"
05/06/2023,"85,000.00","15,850.00","98,000","66,500.00","1,981.50"
02/06/2023,"83,800.00","15,500.00","94,900","65,900.00","1,974.30"
01/06/2023,"83,500.00","15,200.00","93,900","66,100.00","1,969.60"
31/05/2023,"84,100.00","15,400.00","94,000","66,100.00","1,995.50"
30/05/2023,"84,000.00","15,850.00","94,500","66,500.00","1,982.10"
29/05/2023,"83,100.00","15,700.00","93,100","67,100.00","1,977.10"
26/05/2023,"83,100.00","15,350.00","92,000","67,100.00","1,959.75"
25/05/2023,"83,200.00","15,500.00","93,200","67,100.00","1,961.50"
24/05/2023,"81,300.00","15,600.00","92,600","66,300.00","1,963.10"
23/05/2023,"82,000.00","15,950.00","92,800","67,000.00","1,943.10"
22/05/2023,"82,500.00","16,150.00","93,100","68,200.00","1,962.80"
19/05/2023,"82,800.00","15,550.00","94,200","68,600.00","1,972.40"
18/05/2023,"82,900.00","15,450.00","95,000","69,200.00","1,974.80"
17/05/2023,"81,500.00","15,500.00","92,800","69,000.00","1,978.70"
16/05/2023,"81,500.00","15,800.00","92,600","69,700.00","1,956.50"
15/05/2023,"81,000.00","15,900.00","91,700","69,000.00","1,980.70"
12/05/2023,"80,500.00","16,300.00","92,800","69,600.00","1,988.40"
11/05/2023,"79,100.00","16,100.00","91,000","70,000.00","2,018.00"
10/05/2023,"79,000.00","15,950.00","92,000","70,500.00","2,019.80"
09/05/2023,"78,900.00","15,950.00","92,300","70,700.00","2,020.50"
08/05/2023,"78,500.00","15,600.00","93,000","70,400.00","2,037.10"
05/05/2023,"78,400.00","15,550.00","89,800","68,800.00","2,042.90"
04/05/2023,"78,500.00","15,500.00","88,500","68,600.00","2,033.20"
28/04/2023,"77,500.00","15,500.00","90,500","70,000.00","2,024.80"
27/04/2023,"78,300.00","15,300.00","90,000","69,500.00","2,055.70"
26/04/2023,"78,300.00","15,700.00","89,400","71,000.00","2,037.00"
25/04/2023,"78,400.00","14,950.00","88,300","69,900.00","2,023.30"
24/04/2023,"79,100.00","14,600.00","87,900","70,500.00","1,992.20"
21/04/2023,"79,300.00","14,950.00","87,500","70,900.00","1,999.10"
20/04/2023,"79,400.00","15,300.00","88,300","71,900.00","1,999.00"
19/04/2023,"79,300.00","15,300.00","88,500","72,000.00","1,986.90"
18/04/2023,"79,400.00","15,700.00","88,000","73,000.00","1,995.10"
17/04/2023,"79,600.00","15,600.00","88,400","71,700.00","1,990.60"
14/04/2023,"79,600.00","15,350.00","88,400","72,800.00","1,981.30"
13/04/2023,"79,600.00","15,100.00","88,200","73,500.00","2,009.80"
12/04/2023,"80,300.00","15,550.00","88,300","74,300.00","1,998.00"
11/04/2023,"80,300.00","15,800.00","88,200","74,400.00","2,010.30"
10/04/2023,"80,300.00","15,600.00","89,000","74,400.00","1,994.20"
07/04/2023,"80,500.00","16,200.00","90,000","74,700.00","2,002.20"
06/04/2023,"80,300.00","16,400.00","91,200","74,300.00","2,041.30"
05/04/2023,"80,600.00","16,700.00","92,100","74,500.00","2,010.90"
04/04/2023,"80,500.00","16,450.00","92,000","74,200.00","2,004.80"
03/04/2023,"80,900.00","16,200.00","92,800","74,400.00","1,989.10"
31/03/2023,"79,100.00","16,100.00","91,400","74,400.00","2,011.90"
30/03/2023,"79,100.00","16,250.00","92,700","75,000.00","2,020.90"
29/03/2023,"79,000.00","16,550.00","92,300","74,900.00","2,022.20"
28/03/2023,"79,200.00","16,250.00","91,800","74,400.00","1,983.90"
27/03/2023,"79,100.00","16,350.00","91,000","74,600.00","1,969.00"
24/03/2023,"78,600.00","15,900.00","89,000","75,000.00","1,980.30"
23/03/2023,"78,000.00","16,000.00","90,700","75,300.00","1,966.90"
22/03/2023,"78,500.00","15,850.00","89,000","74,400.00","1,973.50"
21/03/2023,"78,100.00","16,100.00","86,500","74,400.00","1,971.50"
20/03/2023,"77,600.00","15,700.00","85,100","74,300.00","2,001.70"
17/03/2023,"79,000.00","16,200.00","89,000","74,500.00","2,013.30"
16/03/2023,"79,200.00","16,100.00","91,000","76,400.00","1,966.60"
15/03/2023,"80,500.00","16,550.00","91,400","77,100.00","1,958.30"
14/03/2023,"78,700.00","15,550.00","91,000","76,600.00","1,999.70"
13/03/2023,"78,900.00","16,200.00","91,500","76,900.00","1,990.20"
10/03/2023,"79,500.00","16,400.00","92,100","76,900.00","1,939.70"
09/03/2023,"80,600.00","16,250.00","93,000","76,500.00","1,948.10"
08/03/2023,"79,500.00","16,250.00","92,200","76,500.00","1,910.90"
07/03/2023,"78,800.00","16,100.00","91,900","75,800.00","1,916.50"
06/03/2023,"78,200.00","15,350.00","91,000","75,000.00","1,867.20"
03/03/2023,"78,500.00","15,300.00","90,900","76,000.00","1,834.60"
02/03/2023,"80,000.00","15,500.00","93,200","76,500.00","1,818.60"
01/03/2023,"80,500.00","15,550.00","93,000","76,900.00","1,820.00"
28/02/2023,"80,500.00","14,550.00","93,500","75,500.00","1,854.60"
27/02/2023,"80,300.00","14,400.00","92,800","75,200.00","1,854.60"
24/02/2023,"80,800.00","15,200.00","93,500","74,700.00","1,840.50"
23/02/2023,"81,400.00","15,800.00","93,300","75,700.00","1,845.40"
22/02/2023,"81,800.00","15,000.00","93,000","75,500.00","1,836.70"
21/02/2023,"82,800.00","15,800.00","94,200","77,200.00","1,824.90"
20/02/2023,"82,800.00","16,200.00","93,800","77,500.00","1,809.20"
17/02/2023,"81,600.00","15,500.00","93,000","76,000.00","1,818.80"
16/02/2023,"81,600.00","15,850.00","92,400","76,500.00","1,833.30"
15/02/2023,"81,600.00","15,100.00","93,000","76,000.00","1,842.50"
14/02/2023,"80,800.00","14,850.00","92,500","74,700.00","1,850.50"
13/02/2023,"80,700.00","14,400.00","93,500","75,300.00","1,847.75"
10/02/2023,"80,700.00","14,400.00","94,500","75,900.00","1,840.40"
09/02/2023,"80,700.00","14,250.00","93,000","75,000.00","1,842.00"
08/02/2023,"81,200.00","14,450.00","94,200","75,800.00","1,834.20"
07/02/2023,"80,700.00","13,550.00","92,000","76,100.00","1,854.00"
06/02/2023,"80,500.00","14,550.00","96,000","77,400.00","1,851.90"
03/02/2023,"80,100.00","14,700.00","93,000","76,000.00","1,862.80"
02/02/2023,"81,900.00","14,500.00","90,600","76,700.00","1,866.20"
01/02/2023,"82,000.00","14,650.00","89,100","77,200.00","1,877.40"
31/01/2023,"83,500.00","15,500.00","91,900","77,100.00","1,871.70"
30/01/2023,"83,700.00","14,950.00","89,900","79,400.00","1,866.20"
27/01/2023,"84,000.00","14,950.00","93,000","80,000.00","1,862.90"
19/01/2023,"83,900.00","14,550.00","93,000","81,300.00","1,916.30"
18/01/2023,"83,400.00","14,550.00","90,000","81,300.00","1,927.80"
17/01/2023,"82,000.00","14,650.00","89,400","80,900.00","1,929.50"
16/01/2023,"80,800.00","13,700.00","87,300","79,400.00","1,922.90"
13/01/2023,"80,000.00","13,100.00","85,800","80,600.00","1,936.60"
12/01/2023,"80,700.00","13,200.00","84,800","80,000.00","1,937.60"
11/01/2023,"80,900.00","13,100.00","85,100","79,400.00","1,950.30"
10/01/2023,"80,400.00","12,850.00","87,300","81,000.00","1,943.10"
09/01/2023,"80,300.00","12,500.00","86,900","80,700.00","1,936.20"
06/01/2023,"80,300.00","12,650.00","84,000","79,800.00","1,928.20"
05/01/2023,"80,600.00","13,200.00","84,000","81,200.00","1,923.90"
04/01/2023,"80,000.00","12,650.00","82,800","79,300.00","1,907.00"
03/01/2023,"80,000.00","12,350.00","82,600","78,500.00","1,907.20"
30/12/2022,"76,900.00","11,550.00","80,000","76,100.00","1,909.90"
29/12/2022,"76,200.00","11,550.00","80,700","77,000.00","1,919.90"
28/12/2022,"76,700.00","11,900.00","80,000","77,000.00","1,921.70"
27/12/2022,"76,500.00","11,750.00","79,100","76,600.00","1,898.80"
26/12/2022,"76,400.00","11,000.00","78,900","76,000.00","1,878.90"
23/12/2022,"78,000.00","11,800.00","79,100","76,200.00","1,876.50"
22/12/2022,"77,200.00","12,550.00","79,300","77,000.00","1,877.80"
21/12/2022,"77,200.00","13,150.00","78,700","78,300.00","1,869.70"
20/12/2022,"76,600.00","13,700.00","79,000","77,317.60","1,840.60"
19/12/2022,"76,600.00","13,700.00","79,200","75,647.40","1,859.00"
16/12/2022,"77,900.00","13,500.00","79,700","76,629.90","1,846.10"
15/12/2022,"77,700.00","12,650.00","79,500","76,236.90","1,835.80"
14/12/2022,"76,300.00","12,650.00","78,800","76,138.60","1,826.20"
13/12/2022,"77,200.00","12,700.00","78,200","76,629.90","1,826.00"
12/12/2022,"77,000.00","12,050.00","77,400","77,121.10","1,815.80"
09/12/2022,"78,000.00","12,950.00","77,300","78,594.70","1,823.10"
08/12/2022,"77,000.00","12,400.00","77,000","79,577.20","1,809.70"
07/12/2022,"76,500.00","11,600.00","78,500","81,050.80","1,804.20"
06/12/2022,"76,000.00","12,250.00","80,000","81,050.80","1,795.30"
05/12/2022,"78,300.00","13,150.00","85,000","83,506.90","1,825.40"
02/12/2022,"77,400.00","12,300.00","85,000","82,524.50","1,825.40"
01/12/2022,"74,700.00","11,500.00","80,000","80,952.60","1,797.70"
30/11/2022,"74,600.00","11,250.00","81,000","81,345.50","1,800.20"
29/11/2022,"74,300.00","10,900.00","79,800","81,542.00","1,787.80"
28/11/2022,"74,300.00","10,550.00","76,700","80,264.90","1,818.70"
25/11/2022,"72,000.00","9,860.00","73,100","80,756.10","1,825.50"
24/11/2022,"70,500.00","9,220.00","73,000","79,773.60","1,792.30"
23/11/2022,"70,500.00","8,620.00","73,500","78,005.30","1,810.70"
22/11/2022,"70,500.00","9,200.00","73,500","78,103.50","1,801.50"
21/11/2022,"70,100.00","9,610.00","75,000","76,531.60","1,798.00"
18/11/2022,"71,500.00","8,990.00","76,500","75,647.40","1,782.40"
17/11/2022,"71,000.00","8,410.00","76,500","74,665.00","1,781.30"
16/11/2022,"69,300.00","7,860.00","75,100","73,191.30","1,809.60"
15/11/2022,"65,900.00","7,350.00","75,000","75,647.40","1,815.20"
14/11/2022,"70,800.00","7,650.00","75,100","77,612.30","1,759.90"
11/11/2022,"72,800.00","8,100.00","75,500","77,022.80","1,763.70"
10/11/2022,"73,000.00","8,700.00","72,800","77,022.80","1,740.30"
09/11/2022,"74,000.00","9,350.00","74,000","79,478.90","1,754.00"
08/11/2022,"73,300.00","9,630.00","72,600","80,952.60","1,754.00"
07/11/2022,"72,600.00","10,350.00","71,800","80,756.10","1,745.60"
04/11/2022,"72,900.00","11,100.00","71,800","78,594.70","1,739.90"
03/11/2022,"74,100.00","11,900.00","73,000","78,594.70","1,739.60"
02/11/2022,"74,000.00","12,400.00","73,600","76,924.60","1,754.40"
01/11/2022,"75,500.00","11,650.00","75,000","78,791.20","1,763.00"
31/10/2022,"75,600.00","11,400.00","73,500","77,121.10","1,775.80"
28/10/2022,"75,000.00","12,250.00","71,600","76,629.90","1,776.80"
27/10/2022,"75,800.00","13,150.00","71,700","77,121.10","1,776.90"
26/10/2022,"73,800.00","12,300.00","70,000","74,665.00","1,769.40"
25/10/2022,"73,200.00","12,450.00","69,900","74,665.00","1,753.70"
24/10/2022,"71,100.00","11,650.00","68,000","72,700.10","1,713.70"
21/10/2022,"73,900.00","12,500.00","68,000","75,647.40","1,716.00"
20/10/2022,"77,800.00","13,400.00","69,200","76,138.60","1,680.50"
19/10/2022,"75,500.00","13,300.00","67,900","75,254.40","1,676.60"
18/10/2022,"74,900.00","13,900.00","67,700","75,156.20","1,630.90"
17/10/2022,"73,800.00","14,050.00","66,300","72,798.40","1,650.00"
14/10/2022,"74,000.00","14,150.00","68,100","72,700.10","1,649.70"
13/10/2022,"73,000.00","13,850.00","66,500","72,503.60","1,640.70"
12/10/2022,"72,400.00","13,600.00","64,000","70,342.30","1,644.80"
11/10/2022,"71,000.00","12,750.00","62,000","68,966.90","1,665.60"
10/10/2022,"74,000.00","12,600.00","65,100","69,261.60","1,669.20"
07/10/2022,"74,000.00","11,800.00","66,700","68,573.90","1,658.00"
06/10/2022,"76,500.00","12,650.00","70,100","68,770.40","1,654.10"
05/10/2022,"78,400.00","13,550.00","71,500","70,342.30","1,656.30"
04/10/2022,"77,500.00","13,050.00","71,300","69,654.60","1,636.80"
03/10/2022,"77,000.00","13,800.00","70,600","69,752.80","1,634.20"
30/09/2022,"80,500.00","14,800.00","73,200","71,030.00","1,655.80"
29/09/2022,"77,000.00","14,800.00","74,000","71,423.00","1,664.00"
28/09/2022,"78,000.00","15,000.00","75,000","70,538.80","1,648.90"
27/09/2022,"80,500.00","15,100.00","74,300","71,128.20","1,677.00"
26/09/2022,"81,500.00","15,200.00","75,000","72,700.10","1,677.50"
23/09/2022,"82,400.00","16,200.00","75,900","75,352.70","1,686.00"
22/09/2022,"82,900.00","16,350.00","78,000","75,549.20","1,675.20"
21/09/2022,"82,300.00","16,100.00","78,900","75,549.20","1,709.30"
20/09/2022,"83,400.00","16,200.00","79,200","74,468.50","1,720.80"
19/09/2022,"83,100.00","16,000.00","78,800","73,879.00","1,720.80"
16/09/2022,"82,500.00","17,200.00","80,000","74,665.00","1,730.50"
15/09/2022,"83,700.00","18,100.00","79,200","73,191.30","1,702.00"
14/09/2022,"84,000.00","18,100.00","78,300","72,700.10","1,672.00"
13/09/2022,"84,600.00","17,500.00","78,600","74,370.30","1,668.60"
12/09/2022,"84,600.00","17,916.70","79,100","73,977.30","1,670.00"
09/09/2022,"84,300.00","17,916.70","78,800","74,566.70","1,636.20"
08/09/2022,"84,300.00","17,333.30","78,000","74,370.30","1,633.40"
07/09/2022,"84,000.00","17,916.70","80,000","74,370.30","1,655.60"
06/09/2022,"85,800.00","18,416.70","82,700","76,433.40","1,681.10"
05/09/2022,"86,200.00","18,541.70","82,600","76,138.60","1,675.70"
31/08/2022,"86,600.00","17,333.30","84,000","74,173.80","1,671.10"
30/08/2022,"86,400.00","17,083.30","86,000","74,665.00","1,678.20"
29/08/2022,"86,500.00","17,250.00","82,500","74,173.80","1,683.50"
26/08/2022,"87,200.00","17,791.70","82,500","75,549.20","1,677.30"
25/08/2022,"86,300.00","18,250.00","82,000","76,531.60","1,709.10"
24/08/2022,"86,200.00","17,791.70","82,000","76,335.10","1,717.40"
23/08/2022,"86,000.00","17,916.70","80,200","74,468.50","1,740.60"
22/08/2022,"85,802.00","17,333.30","80,000","72,405.40","1,728.60"
19/08/2022,"85,901.00","17,000.00","80,900","72,798.40","1,720.20"
18/08/2022,"87,285.00","17,583.30","81,500","72,110.70","1,727.80"
17/08/2022,"87,285.00","17,625.00","81,500","71,324.70","1,707.90"
16/08/2022,"87,680.00","18,125.00","81,500","70,538.80","1,712.90"
15/08/2022,"87,878.00","17,958.30","81,800","70,244.00","1,718.65"
12/08/2022,"85,506.00","18,083.30","81,600","70,637.00","1,722.60"
11/08/2022,"85,012.00","16,916.70","81,500","69,851.10","1,709.30"
10/08/2022,"85,012.00","17,416.70","80,500","71,226.50","1,726.20"
09/08/2022,"85,209.00","17,125.00","80,800","70,735.20","1,736.30"
08/08/2022,"85,012.00","17,291.70","82,000","70,931.70","1,749.70"
05/08/2022,"84,814.00","17,083.30","82,000","71,324.70","1,749.80"
04/08/2022,"85,110.00","16,583.30","82,500","72,012.40","1,771.40"
03/08/2022,"83,825.00","16,291.70","79,500","72,110.70","1,761.50"
02/08/2022,"84,023.00","15,250.00","78,900","72,110.70","1,761.20"
01/08/2022,"83,035.00","15,083.30","77,000","72,208.90","1,748.40"